Text,Stemming,True Label,Predicted Label,Correct
Another wasted talent from Indonesia due to shitty system. @prabowo @Gerindra . Yuk Danantara 5 tahun pertama kan akan fokus salah satunya ke sektor pendidikan kesehatan &amp; jaminan sosial fokus benahi penyerapan talent.,another wasted talent from indonesia due to shitty system yuk danantara 5 fokus salah satu sektor didik sehat jamin sosial fokus benah serap talent,1,2,False
Jgn lupakan Danantara dan efisienshit gaes Remember why we fight!,jgn lupa danantara efisienshit gaes remember why we fight,0,2,False
@pururennyaa @taegurl_ @tanyakanrl Ngga perlu juga yang diambil pemerintah dari bank bumn kan hasil untungnya bukan aset dan tabungan nasabahnya kalaupun danantara amit2 bangkrut juga ga ada urusannya sama bank bumn,ngga ambil perintah bank bumn hasil untung aset tabung nasabah danantara amit2 bangkrut ga urus bank bumn,1,0,False
@catuaries iya ini sengaja dibanting biar low base effect pada saat mulai danantara ,iya sengaja banting biar low base effect danantara,0,2,False
CEO BPI Danantara Rosan Roeslani menegaskan bahwa investasi yang dikelola badan tersebut akan dilakukan dengan prinsip transparansi kehati-hatian dan integritas. Dalam acara Indonesia Economic Outlook 2025 ia mengungkapkan bahwa Presiden Prabowo Subianto telah memberikan https://t.co/IZMZWAH3jI,ceo bpi danantara ros roeslani investasi kelola badan prinsip transparansi kehatihatian integritas acara indonesia economic outlook 2025 presiden prabowo subianto,2,1,False
@barengwarga @tempodotco Ada baiknya dana dari danantara sedikit maupun banyak di pakai untuk beli klub olahraga misalnya pemilik Boston Celtics lagi cari investor karena mau jual seluruh sahamnya dan beli saham di klub Eropa yang nilai jualnya tinggi. Bukankan itu lebih menjanjikan profit nya?,baik dana danantara pakai beli klub olahraga milik boston celtics cari investor jual saham beli saham klub eropa nilai jual bukan janji profit nya,1,2,False
@hellostalker25 @tanyarlfes Demi soal Indonesia gelap terkait dengan makan bergizi gratissss penghematan anggaran untuk sementara dialihkan ke danantara bekerja smaa dengan BUMN untuk kemakmuran ke depanya dalam SDA kita ngeri yang kaya akan alam harus di ke depankan di bantu dengan invetasi,indonesia gelap kait makan gizi gratissss hemat anggar alih danantara smaa bumn makmur depa sda ngeri kaya alam depan bantu invetasi,2,0,False
amit-amit dah kalau danantara malah tergantung capitalist arm federal amerika macam blackrock,amitamit dah danantara gantung capitalist arm federal amerika blackrock,0,2,False
Mulai sekarang kita pantau saja dulu itu Danantara. #Danantara,pantau danantara,0,2,False
Ikut rbb gk ya tapi ntar masuk danantara,rbb gk ya ntar masuk danantara,0,2,False
Danantara itu bisa berhasil bisa gagal pula. Peluangnya sama besar 50:50. Daripada berpikir akan hancur berantakan kenapa tak berpikir positif dan berharap akan berhasil? Masyarakat bisa berpartisipasi dengan ikut mengawal dan berani bersuara jika ada yg salah.,danantara hasil gagal peluang 5050 pikir hancur beranta pikir positif harap hasil masyarakat partisipasi awal berani suara yg salah,1,0,False
Semoga aman bang. Perlu diinget buat Bank BUMN semisal @BNI @bankmandiri @BANKBRI_ID kasus serupa soal developer ini termasuk yg bikin kepercayaan masyarakat turun. @erickthohir @prabowo @Gerindra @Danantara_ri Warganet akan memantau output dari kasus ini.,moga aman bang diinget bank bumn developer yg bikin percaya masyarakat turun warganet pantau output,2,0,False
@_haye_ @revolutia Ngga liat ada larangannya sih. Juga bisa dibuat SPV untuk itu. Lembaga penjamin investasi udah ada. Juga ada Danantara kalau investornya perlu jaminan lain.,ngga liat larang sih spv lembaga jamin investasi udah danantara investor jamin,2,0,False
@kuyangmanis_ Coba bawa ke danantara buk,coba bawa danantara buk,2,0,False
@adarwis Hemat pangkal danantara,hemat pangkal danantara,0,2,False
Harus ditutup karena sudah ada PBI DANANTARA sehingga ran Nusantara sudahbtidak berfungsi lagi. Mesin cucunya terlalu kecil.,tutup pbi danantara ran nusantara sudahbtidak fungsi mesin cucu,1,2,False
@tanyakanrl oiya laba yg akan diserahkan ke danantara pun ga seluruhnya jadi sebagian aja berapa persennya gitu yaa,oiya laba yg serah danantara ga aja persen gitu yaa,2,0,False
Orang Indo pada GR banget dah. Ini pasti udah dibikin sebelum dia gabung Danantara dan kelihatannya gak ada hubungannya buku ini sama itu. Emang pemerintah kita kacrut sih tp ya gak usah GR juga.,orang indo gr banget dah udah bikin gabung danantara gak hubung buku emang perintah kacrut sih tp ya gak gr,2,0,False
Danantara akan bangun 35 mega proyek hasil efisiensi anggaran #DanantaraBangunNegeri https://t.co/ZqeJvKx5N8,danantara bangun 35 mega proyek hasil efisiensi anggar,1,2,False
Tahukah Anda? Danantara resmi jadi no 7 terbesar di dunia https://t.co/liUu3v4Pvj,tahu danantara resmi no 7 besar dunia,1,0,False
Danantara Menjadi Mesin Baru Yang Dipersiapkan Presiden Prabowo Subianto Untuk Menggenjot Ekonomi RI. https://t.co/ynzFT8z8tE,danantara mesin siap presiden prabowo subianto genjot ekonomi ri,0,2,False
@V3g3L @prabowo terima kasih pertamina danantara..,terima kasih pertamina danantara,0,2,False
Efisiensi anggaran dan dampak positif danantara pada ekonomi masyarakat #DanantaraBangunNegeri https://t.co/5zlvd8l16O,efisiensi anggar dampak positif danantara ekonomi masyarakat,1,2,False
@67fitriaNingsih @DS_yantie @prabowo Semoga Danantara jadi pijakan investasi ke depan.,moga danantara pijak investasi,2,1,False
Bjir.... saham anjlok nyimpen di bank jadi danantara sekarang nyimpen uang berupa emas juga digangguin. Ini kayaknya pengen masyarakat nyimpen uang di celengan babi aja deh.,bjir saham anjlok nyimpen bank danantara nyimpen uang emas digangguin kayak ken masyarakat nyimpen uang celengan babi aja deh,2,0,False
Danantara strategi besar menuju kemandirian ekonomi! #Danantara #IndonesiaMaju https://t.co/iffyVEmgHr,danantara strategi mandiri ekonomi,2,1,False
Wayah iki tontonan yutub e rodo berbobot tapi marake ngelu karo emosi nyimak e pertamina danantara efisiensi anggaran,wayah iki tonton yutub e rodo bobot marake ngelu karo emosi nyimak e pertamina danantara efisiensi anggar,0,2,False
@tijabar Tetep kawal Danantara tagih jawaban pemerintah atas tuntutan massa aksi Indonesia Gelap dan tetep kawal kasus Tom Lembong,tetep kawal danantara tagih perintah tuntut massa aksi indonesia gelap tetep kawal tom lembong,2,0,False
Bca ngapa ikut turun yak? Kan die kagak ikutan danantara,bca ngapa turun yak die kagak ikut danantara,2,0,False
Ketika bisnis model DANANTARA itu sebagai rumah harta negara yang dijalankan di luar konstruksi dan paradigma sistem riba (bank dan uang fiat) maka akan terjadi lompatan peradaban. #Riba #Dajjal,bisnis model danantara rumah harta negara jalan konstruksi paradigma sistem riba bank uang fiat lompat adab,1,2,False
rakyatnya peduli Palestine effort untuk boycott. pejabatnya malah jadiin mantan PM Inggris pro zionist jadi dewas danantara goblok,rakyat peduli palestine effort boycott jabat jadiin mantan pm inggris pro zionist dewas danantara goblok,2,0,False
Kalau dilihat perbandingan total interaksi harian di semua platform yang dimonitor Drone Emprit tampak bahwa perhatian netizen terhadap Danantara tinggi dan terus tinggi namun terhadap Pertamina lebih tinggi lagi. Mungkin karena speechless. https://t.co/cLCvvDBVmk,banding total interaksi hari platform monitor drone emprit perhati netizen danantara pertamina speechless,2,0,False
Dony Oskaria Ungkap Seluruh BUMN bakal Dikelola Danantara sebelum RUPS Maret 2025 https://t.co/kIJUv7NKx0,dony oskaria bumn kelola danantara rups maret 2025,1,2,False
@Henry84Wu saya gamasalah soal danantara inisiatif investasi negara saya kan menekankan URGENT karena saking seringnya dibiarin terbengkalai pas dirusak demonstran karena gapuas soal pemerintah langsung tuding penyebab fasum rusak padahal mah kalo scope diperluas masih banyak ga keurus,gamasalah danantara inisiatif investasi negara tekan urgent saking dibiarin bengkalai pas rusak demonstran gapuas perintah langsung tuding sebab fasum rusak mah kalo scope luas ga urus,2,0,False
Jokowi klaim keterlibatan profesional dan ahli di Danantara menjadi kunci kesuksesan sekaligus mencegah masuknya kepentingan politik. Apakah para pengurus Danantara ini benar profesional dan tak punya konflik kepentingan? https://t.co/lUFZeiapqD,jokowi klaim libat profesional ahli danantara kunci sukses cegah masuk penting politik urus danantara profesional konflik penting,2,0,False
@kuromikul_ buat danantara kan mbg juga dipangkas katanya buat danantara kak ,danantara mbg pangkas danantara kak,0,2,False
@AyamSegar3 @tekarok007 Kelompok Goldman Sachs adalah extrem kapitalis. Itu yang bersliweran di Danantara. Tergadai sudah semuanya.,kelompok goldman sachs extrem kapitalis bersliweran danantara gadai,0,2,False
@prakashdivyy wkwkwk Danantara bersama buzzer akan membantu kerek,wkwkwk danantara buzzer bantu kerek,0,2,False
yakin deh Danantara bisa bikin inves meningkat https://t.co/oXpI6XRiFM,deh danantara bikin inves tingkat,1,0,False
@und_cuckoosnest @nabiylarisfa Tp kn mereka gak bebas bersuara gak ky ekonom nya pragib pas kampanye yg skrg malah kritik Danantara keliling di podcast2,tp kn gak bebas suara gak ky ekonom nya pragib pas kampanye yg skrg kritik danantara keliling podcast2,2,0,False
Danantara Mau Bikin Proyek Pusat Data AI di Indonesia Ini Kata Telkom https://t.co/zPWrlaKQmQ,danantara bikin proyek pusat data ai indonesia telkom,2,0,False
@MardaniJgMw Yang ada di Proker di ilangin Yang ga ada di proker diadain kayak DANANTARA kayak IKN,proker ilangin ga proker diadain kayak danantara kayak ikn,0,2,False
@demokrasi_ruwet @BANGSAygSUJUD @99propaganda @AlmaghribiS @are_inismyname @bitCarli77 @EdySularno96489 @FDonghun @FirdaSyeban @florieliciouss @gtobing2903 @Ndons_Back Danantara adalah murni jebakan kelompok ekstrem kapitalis. Leher bangsa ini ditaruhkan di meja perjudian kapitalis dgn aset Dan kekayaan alam negri ini taruhannya. Jelas sekali kita sewa infrastruktur keuangan Dan SDM kapitalis. Menunjukkan petinggi jongos begundal kapitalis.,danantara murni jebak kelompok ekstrem kapitalis leher bangsa taruh meja judi kapitalis dgn aset kaya alam negri taruh sewa infrastruktur uang sdm kapitalis petinggi jongos begundal kapitalis,2,0,False
Bisa tidak pemerintah minta ganti 193 7 triliyun ke mereka yg telah merugikan negara? Trs masukin k Danantara jangan ke kas negara Bangsa &amp; negara Indonesia pasti terjamin dah #bangsa #bangsaIndonesia #bangsaIndonesiakorupsi #bangsaIndonesiakorupsiterbanyak,perintah ganti 193 7 triliyun yg rugi negara trs masukin k danantara kas negara bangsa negara indonesia jamin dah,1,0,False
Tenang Bung... Danantara segera datang urusan receh itu . DIVISI 10,tenang danantara urus receh divisi 10,1,0,False
Bapakku walaupun 03 dijelasin danantara sama uu tni pun jawabannya pun gak terlalu peduli. Yg penasihat danantara mantan korupsi itu katanya gapapa kan siapa tau dah tobat,bapak 03 dijelasin danantara uu tni jawab gak peduli yg nasihat danantara mantan korupsi gapapa tau dah tobat,2,0,False
Danantara adalah Badan Pengelola Investasi yang bertugas mengonsolidasikan serta mengelola aset strategis milik negara. Melalui investasi pada sektor-sektor prioritas seperti energi terbarukan teknologi dan industri hilirisasi #Danantara #InvestasiNasional #BPIDanantara https://t.co/sm0GiQ1AXw,danantara badan kelola investasi tugas konsolidasi kelola aset strategis milik negara investasi sektorsektor prioritas energi baru teknologi industri hilir,2,1,False
@es75035 Danantara aja jor-joran. Tapi buat ini kayak ngasih recehan https://t.co/zbEpo2Hyuh,danantara aja jorjoran kayak ngasih receh,0,2,False
@dheppylovelly Bersama-sama kita bikin Danantara lebih baik. Transparansi rules!,bersamasama bikin danantara transparansi rules,1,0,False
Jadi pada ngeributin pertamax dan melupakan Danantara. Semua bukan kebetulan belaka. Pasti ada sebab-musababnya. Sudah dua periode kita disuguhin cara yang sama. Begitu khas. Sangat jarang sekali kebetulan yg pas banget begini.,ngeributin pertamax lupa danantara belaka sebabmusababnya periode disuguhin khas jarang yg pas banget,0,2,False
@thelakeshadow Kolaborasi Danantara punya dampak besar ke depan.,kolaborasi danantara dampak,1,2,False
Ini pengalihan isu danantara atau emg udah kebanyakan isu dah. Tiap buka X kok dar der dor.,alih isu danantara emg udah banyak isu dah buka x dar der dor,2,0,False
pengen kerja di danantara deh biar dapet uang haramnya gampang,ken kerja danantara deh biar dapet uang haram gampang,0,2,False
cuma di exabet88 slot gacor mudah maxwin! . #IndonesiaGelap #IndonesianIdol #PertaminaSarangKoruptor #DanantaraKonspirasiJahat #Danantara #indonesiaviral #Pertamax #Pertamina #slotonline #PertamaxOplosan #KorupsiPertamina #puasa #closingan #ramadhan #sidangisbat https://t.co/DW80Hq9wri,exabet88 slot gacor mudah maxwin,0,2,False
masa depan lebih cemerlang dengan sentuhan Danantara https://t.co/8akakSYQCP,cemerlang sentuh danantara,1,0,False
@TradingDiary2 Mungkin dia melihat Danantara banyak kebusukan di dalamnya dan dia tidak mau menjadi bagian dari itu. We'll see ,danantara busuk dalam well see,0,2,False
danantara siap jadi pionir di bidang energi berkelanjutan https://t.co/SL1BmZZKrF,danantara pionir bidang energi lanjut,2,1,False
 lah trus apa urusannya sama pertamina korupsi sama danantara YA INI GW LAGI JELASIN BAZEEENNGGGGG,trus urus pertamina korupsi danantara ya gw jelasin bazeeennggggg,2,0,False
Telkom Indonesia siapkan penunjang teknologi AI untuk Danantara #telkomindonesia #bigbox #ai #danantara #artificialintelligence #tepatsolutifindonesia #bumn #elevatingyourfuture @kemenBUMN @telkomindonesia https://t.co/zzTS9xeCKa,telkom indonesia siap tunjang teknologi ai danantara,1,2,False
@ardisatriawan isiny ky gini pantes aja Ray dalio mundur dr danantara.,isiny ky gin pantes aja ray dalio mundur dr danantara,0,2,False
@b0nnysidharta Klo ga danantara ya bank emas bullion,klo ga danantara ya bank emas bullion,1,0,False
@KangManto123 Pak simon dr gerindra masuk pertamina bulan nov 24 saya heran kok bawahnya ga ada yg diganti ya? Trnyata tdk sesimple diganti gt aja. Disikat! Soon bumn lain yg akan gabung danantara. Jgn pada kaget nanti,simon dr gerindra masuk pertamina nov 24 heran bawah ga yg ganti ya trnyata tdk sesimple ganti gt aja sikat soon bumn yg gabung danantara jgn kaget,2,0,False
Siang tadi berkesempatan ngobrol dengan salah satu mantan petinggi bank plat merah. Saya menanyakan pendapat beliau soal Danantara. Jawabannya TIDAK SETUJU terlalu beresiko. Bahkan menyebut petinggi Danantara tersebut tak mungkin bisa lolos fit &amp; proper test jadi pimpinan Bank.,siang sempat ngobrol salah mantan petinggi bank plat merah dapat beliau danantara jawab tuju resiko sebut petinggi danantara lolos fit proper test pimpin bank,0,2,False
@_riverheaven Tidak rangkep rangkep rangkep jabatan. Emang di negeri ini tidak ada orang jujur jelas nomulyo raja occrp kok jadi penasihat danantara yg lain juga emang jujur ape?,rangkep rangkep rangkep jabat emang negeri orang jujur nomulyo raja occrp nasihat danantara yg emang jujur ape,0,2,False
Abis ini ga kaget kalau ray dalio nulis buku contoh kasusnya danantara,abis ga kaget ray dalio nulis buku contoh kasus danantara,0,2,False
trus tar gabung deh di danantara. kan perlu yang berpengalaman ,trus tar gabung deh danantara alam,0,2,False
Arah Danantara Menuju Indonesia Emas 2045 https://t.co/Ddqmm4HH95,arah danantara indonesia emas 2045,1,2,False
Ibuk2 di kantor we yg kmrn we ceritain soal Danantara malah ngatain we sukanya fear mongering plus udah nggk usah pusing mikirin negara udh ada yg ngurusin ini ngoookkkk.. pdhl paginya abis ngeluh2 potongan pajek harga cabai naik plus lg ngos2an bayar ukt anaknya. Kocak emng,ibuk2 kantor we yg kmrn we ceritain danantara ngatain we suka fear mongering plus udah nggk pusing mikirin negara udh yg ngurusin ngoookkkk pdhl pagi abis ngeluh2 potong pajek harga cabai plus lg ngos2an bayar ukt anak kocak emng,2,0,False
Mundurnya Dalio disebut sebagai kemunduran bagi arah strategis Danantara. Seperti apa sosok Ray Dalio? https://t.co/ZGxINiLTP6,mundur dalio mundur arah strategis danantara sosok ray dalio,0,2,False
@msaid_didu Efek negatif danantara saham hampir anjlok semua...Pertanda apa ini??,efek negatif danantara saham anjlok semuapertanda,0,2,False
kalo mau 900T itu suruh kembalikan seperti katamu sebelumnya 150 buat MGB 750 buat danantara efisiensi dibatalkan atau ada yang lebih bijak 500 buat dikti 400 buat dikbud,kalo 900t suruh kembali kata 150 mgb 750 danantara efisiensi batal bijak 500 dikti 400 dikbud,2,0,False
Efisiensi BUMN dan lonjakan investasi asing bisa tercapai berkat Danantara #Danantara #ManfaatDanantara #DukungDanantara #DanantaraIndonesia https://t.co/QjCNteEdZz,efisiensi bumn lonjak investasi asing capai berkat danantara,1,2,False
@Ariiq_HanifSSH @DenmasSojo @prabowo @Gerindra Duit anak yang kamu bilang tadi cuma seujung kuku dari penerimaan negara. Pajak penyumbang terbesar pendapatan negara. Karena efisiensi tadi banyak yang dipotong( duit pajak tersebut)dijadikan modal utk danantara.,duit anak bilang ujung kuku terima negara pajak sumbang besar dapat negara efisiensi potong duit pajak tersebutdijadikan modal utk danantara,2,0,False
* Katanya Efisiensi jadinya Danantara !!! - * PT. Sritex Tutup Per 1 Maret 2025 !!! - * Foto Termahal Th. 2025 M !!! https://t.co/lMcjWF9ll1,efisiensi danantara pt sritex tutup 1 maret 2025 foto mahal th 2025 m,0,2,False
Danantara pasti jd tempat mereka korup ribuan triliun tujuan Danantara adalah menjual aset bangsa. #JokowiPredatorKorup #JokowiPredatorKorup,danantara jd korup ribu triliun tuju danantara jual aset bangsa,0,2,False
@ardisatriawan Kita sekuat tenaga menjalankan efisiensi yang di sana kok foya-foya? Ini si Danantara baru lahir belum masuk di list. https://t.co/aeT12D3F5x,kuat tenaga jalan efisiensi foyafoya si danantara lahir masuk list,0,2,False
Danantara Bakal Diawasi dari Segala Arah Masyarakat tak Perlu Khawatir https://t.co/W7bc1BUt6P,danantara awas arah masyarakat khawatir,1,2,False
@AGON1SED @idiotkasta thiss pliss share lg kak mungkin ada wong indon juga yg kerja sbg asn rang bumn like pertamina n telkom danantara dan kroni2 oligarki lain di aussie tuhh mereka gerombol sendiri bikin sekte atau nelanjangin urat malu di mata dunia juga?,thiss pliss share lg kak indon yg kerja sbg asn rang bumn like pertamina n telkom danantara kroni2 oligarki aussie tuhh gerombol bikin sekte nelanjangin urat malu mata dunia,2,0,False
Too Big To Fail: Danantara &amp; Too Small To Success: Koperasi Danantara dan Koperasi adalah representasi strategi Pertumbuhan dan Pemerataan Ekonomi. Keduanya harus berkembang seiring sejalan. https://t.co/C2tQiSxRUV,too big to fail danantara too small to success koperasi danantara koperasi representasi strategi tumbuh perata ekonomi kembang iring jalan,2,1,False
Thaksin sinawatra yang masuk kedalam Danantara berikut sepak terjangnya dulu https://t.co/Rr5pE8MAYz,thaksin sinawatra masuk dalam danantara sepak terjang,0,2,False
Danantara sempakkk! IHSG ancurr leburrrr,danantara sempakkk ihsg ancurr leburrrr,0,1,False
@igotccu @ananotyou @tanyakanrl Yg ditakutkan masyarakat adalah pengelolaan Danantara tidak bisa diaudit atau disalahkan pengelolanya tanpa persetujuan DPR tau kan DPR kita? Susunan pengelola Danantara itu mengerikan ingat kasus Asabri dan Jiwasraya? Ingat bank itu Inves pakai tabungan kita sekecil apapun,yg takut masyarakat kelola danantara audit salah kelola tuju dpr tau dpr susun kelola danantara keri asabri jiwasraya bank inves pakai tabung apa,0,2,False
Proyek Prioritas AI Danantara Tantangan Infrastruktur dan SDM yang Harus Dibenahi Baca selengkapnya di sini https://t.co/vcdbZgKYUn,proyek prioritas ai danantara tantang infrastruktur sdm benah baca lengkap,2,0,False
@Mdy_Asmara1701 BISA SAJA TUTUP KARENA MAU PINDAH INVESTMENT KE DANANTARA.,tutup pindah investment danantara,2,0,False
Eh sek sek tapi nek semua bersih bersih gini emang mau pergantian pemain gasihhhh????? Terus itu yg danantara megantara belantara apalah itu kan menaungi Bumn ya laini bumn nya eh gatau deng gatau,eh sek sek nek bersih bersih gin emang ganti main gasihhhh yg danantara megantara belantara apa taung bumn ya lain bumn nya eh gatau deng gatau,2,0,False
@delicateshera oke sih sedikit... musingin nilai karena ada matkul yang bener bener absurd nilainya trus ada yang bisa aku kerjain tapi kendalanya di waktu trus... Dapet berita yang digandeng danantara z!0n!$ kayak yaAllah....,oke sih musingin nilai matkul bener bener absurd nilai trus kerjain kendala trus dapet berita gandeng danantara z0n kayak yaallah,0,2,False
@tempodotco Masukin saja ke danantara prabowo brothers &amp; co.,masukin danantara prabowo brothers co,0,2,False
@MichelAdam717 @prabowo #JokowiPredatorKorup #JokowiPredatorKorup Kesetiaan cuma bisa dibuktikan dengan aksi bukan dgn teriak di podium mata masyarakat menyaksikan &amp; menunggu Adili jokowi Tangkap aguan batalkan danantara. FIX..,setia bukti aksi dgn teriak podium mata masyarakat saksi tunggu adil jokowi tangkap aguan batal danantara fix,0,2,False
@txtdrimedia Padahal bisa buat modal ke danantara dan mbg tidak perlu efisiensi wkwkw,modal danantara mbg efisiensi wkwkw,1,0,False
Gw ngomongin danantara emak ga terima prabski dikatain well ‍↔️,gw ngomongin danantara emak ga terima prabski dikatain well,2,0,False
@idextratime Danantara belum ye @prabowo ?? Walau nepotisme nya sudah terang benderang..,danantara ye nepotisme nya terang benderang,2,0,False
@WagimanDeep212_ @PPATK Danantara mengelola aset US$900 miliar (Rp14.715 triliun) hampir 10 APBN tapi solusi pengamanannya cuma 'dewan penasihat profesional' dan komisi pemantau. Kita butuh lebih dari sekadar nama-nama besar: transparansi total pelaporan publik reguler audit independen internasional ,danantara kelola aset us900 miliar rp14715 triliun 10 apbn solusi aman dewan nasihat profesional komisi pantau butuh namanama transparansi total lapor publik reguler audit independen internasional,0,2,False
@SelebtwitMobil Emang mau dibubarin Gantinya DANANTARA...,emang dibubarin ganti danantara,2,0,False
@StefanAntonio__ efek danantara krn deviden mayoritas ditarik pemerintah ga menarik bagi asing parkir dana di bigbank,efek danantara krn deviden mayoritas tarik perintah ga tarik asing parkir dana bigbank,1,0,False
Sebelum Danantara mulai berjalan kecurigaan sudah muncul. Para ekonom dan akademisi mempertanyakan model pengelolaannya dan potensi risiko korupsi. #Headline https://t.co/WLza5zNntX,danantara jalan curiga muncul ekonom akademisi model kelola potensi risiko korupsi,2,0,False
@prastow Jgn kwatir danantara akan menjadi solusinya 300t bisa beli cendol sama gerobaknya,jgn kwatir danantara solusi 300t beli cendol gerobak,0,2,False
@zonadamaii Tidak ada dana bantuan sosial yang digunakan untuk pendanaan Danantara,dana bantu sosial dana danantara,1,2,False
@BudiBukanIntel @oscartotango Danantara juga setan ketemu setan. Saling tolong dalam mencuci.,danantara setan ketemu setan tolong cuci,0,2,False
@tekarok007 Pemerintah beli aja saham Soros pakai duit danantara.. Dan buktikan tempo bisa disetir ngak! Gitu aja repot.... Hidup itu sederhana ada pemikiran jadikan niat dan lakukan.,perintah beli aja saham soros pakai duit danantara bukti tempo setir ngak gitu aja repot hidup sederhana pikir jadi niat laku,2,0,False
Rosan Jamin Investasi Danantara Baik &amp; Benar https://t.co/4lTRmJXMK5,ros jamin investasi danantara,1,2,False
Danantara Bisa Keluarkan Surat Utang untuk Investasi Todung Mulya Lubis: Jaminannya? https://t.co/VtmOR6YkNK,danantara keluar surat utang investasi todung mulya lubis jamin,2,0,False
@vanillaaddict12 @hani_nafidz @lievvv4 makannya mbak jgn asal pilih liat dulu background dia gmn org beli hp aja butuh diliat spesifikasi ny dulu sesuai gak ama kebutuhan ya kali milih presiden cmn modal kasian udh nyalon berkali gajadi hadeeh â€â€ yaa emg dibuat gt diungkap skrg tp gantinya noh ada danantara ,makan mbak jgn pilih liat background gmn org beli hp aja butuh liat spesifikasi ny sesuai gak ama butuh ya kali milih presiden cmn modal kasi udh nyalon kali gajadi hadeeh yaa emg gt ungkap skrg tp ganti noh danantara,1,0,False
Gila ya replay org disini pada ngedoain jahat jahat anjg ngedoain danantara gagal korupsi dll buset sejahat itu sama negara sendiri mangknya di doain yg buruk,gila ya replay org ngedoain jahat jahat anjg ngedoain danantara gagal korupsi dll buset jahat negara mangknya doain yg buruk,1,0,False
